# Structural comparison of de_CH/userGuide.t2t against de_CH/userGuide-newRevisions/14344/userGuide.t2t
en 13.4. start:1806 paragraphs:2, tables:0, lists:1
de_CH 13.4. start:2104 paragraphs:1, tables:0, lists:0
en 13.5. start:1819 paragraphs:3, tables:0, lists:0
de_CH 13.5. start:2108 paragraphs:10, tables:0, lists:0
de_CH 13.5.1. start:2153 paragraphs:2, tables:0, lists:1
en 13.6. start:1830 paragraphs:2, tables:0, lists:0
de_CH 13.6. start:2166 paragraphs:3, tables:0, lists:1
en 13.7. start:1837 paragraphs:2, tables:0, lists:0
de_CH 13.7. start:2177 paragraphs:4, tables:0, lists:1
de_CH 13.8. start:2192 paragraphs:1, tables:0, lists:0
en 14. start:1845 paragraphs:1, tables:0, lists:0
de_CH 14. start:2195 paragraphs:1, tables:0, lists:0
en 14.1. start:1848 paragraphs:5, tables:3, lists:0
de_CH 14.1. start:2199 paragraphs:3, tables:0, lists:0
en 14.2. start:1907 paragraphs:3, tables:1, lists:0
de_CH 14.2. start:2209 paragraphs:2, tables:0, lists:0
en 14.3. start:1951 paragraphs:3, tables:1, lists:1
de_CH 14.3. start:2216 paragraphs:1, tables:0, lists:0
en 14.4. start:1985 paragraphs:2, tables:1, lists:0
de_CH 14.4. start:2221 paragraphs:2, tables:0, lists:1
en 14.5. start:2005 paragraphs:6, tables:2, lists:1
de_CH 14.5. start:2234 paragraphs:2, tables:0, lists:0
en 14.6. start:2041 paragraphs:2, tables:1, lists:0
en 14.7. start:2058 paragraphs:2, tables:1, lists:0
en 14.8. start:2075 paragraphs:2, tables:1, lists:0
en 14.9. start:2106 paragraphs:2, tables:1, lists:0
en 14.10. start:2178 paragraphs:2, tables:1, lists:0
en 14.11. start:2200 paragraphs:8, tables:3, lists:2
en 14.12. start:2281 paragraphs:8, tables:4, lists:1
en 14.13. start:2364 paragraphs:4, tables:1, lists:1
en 14.14. start:2412 paragraphs:3, tables:1, lists:1
en 14.15. start:2447 paragraphs:1, tables:1, lists:0
en 14.16. start:2457 paragraphs:3, tables:1, lists:0
de_CH 15. start:2241 paragraphs:1, tables:0, lists:0
en 15. start:2477 paragraphs:0, tables:0, lists:0
de_CH 15.1. start:2244 paragraphs:2, tables:0, lists:1
en 15.1. start:2479 paragraphs:6, tables:3, lists:0
de_CH 15.2. start:2261 paragraphs:5, tables:3, lists:0
en 15.2. start:2523 paragraphs:2, tables:1, lists:1
de_CH 15.3. start:2322 paragraphs:4, tables:1, lists:0
de_CH 15.4. start:2374 paragraphs:3, tables:1, lists:1
