# Structural comparison of ne/userGuide.t2t against ne/userGuide-newRevisions/16135/userGuide.t2t
en 14.8. start:2285 paragraphs:3, tables:1, lists:0
en 14.9. start:2304 paragraphs:3, tables:0, lists:0
en 14.9.1. start:2313 paragraphs:0, tables:1, lists:0
en 14.9.2. start:2338 paragraphs:0, tables:1, lists:0
en 14.9.3. start:2346 paragraphs:0, tables:1, lists:0
en 14.10. start:2356 paragraphs:2, tables:1, lists:0
en 14.11. start:2428 paragraphs:3, tables:1, lists:0
en 14.12. start:2452 paragraphs:9, tables:3, lists:2
en 14.13. start:2534 paragraphs:8, tables:4, lists:1
en 14.14. start:2618 paragraphs:9, tables:3, lists:1
en 14.15. start:2710 paragraphs:3, tables:1, lists:1
en 14.16. start:2746 paragraphs:1, tables:1, lists:0
en 14.17. start:2756 paragraphs:3, tables:1, lists:0
en 14.18. start:2840 paragraphs:4, tables:1, lists:0
en 15. start:2862 paragraphs:0, tables:0, lists:0
ne 15. start:2113 paragraphs:1, tables:0, lists:0
en 15.1. start:2864 paragraphs:6, tables:3, lists:0
en 15.2. start:2910 paragraphs:2, tables:1, lists:1
en 16. start:2922 paragraphs:1, tables:0, lists:0
# end of comparison
