# Structural comparison of mn/userGuide.t2t against mn/userGuide-newRevisions/14866/userGuide.t2t
mn 12.1.4. start:1064 paragraphs:1, tables:1, lists:0
mn 12.1.5. start:1074 paragraphs:29, tables:0, lists:0
mn 12.1.6. start:1188 paragraphs:18, tables:0, lists:0
mn 12.1.7. start:1248 paragraphs:8, tables:0, lists:0
mn 12.1.8. start:1278 paragraphs:2, tables:0, lists:0
mn 12.1.9. start:1286 paragraphs:8, tables:0, lists:0
mn 12.1.10. start:1310 paragraphs:15, tables:0, lists:1
mn 12.1.11. start:1365 paragraphs:6, tables:0, lists:0
mn 12.1.12. start:1396 paragraphs:14, tables:0, lists:0
mn 12.1.13. start:1444 paragraphs:8, tables:0, lists:2
mn 12.1.14. start:1507 paragraphs:2, tables:0, lists:0
mn 12.1.15. start:1513 paragraphs:7, tables:0, lists:1
mn 12.1.16. start:1540 paragraphs:6, tables:0, lists:1
mn 12.1.17. start:1569 paragraphs:5, tables:0, lists:0
mn 12.2. start:1585 paragraphs:3, tables:1, lists:0
en 12.2. start:1748 paragraphs:5, tables:0, lists:0
mn 12.3. start:1600 paragraphs:3, tables:0, lists:0
en 12.3. start:1763 paragraphs:10, tables:0, lists:0
mn 12.3.1. start:1610 paragraphs:4, tables:0, lists:1
mn 12.3.2. start:1626 paragraphs:3, tables:0, lists:0
mn 12.3.3. start:1637 paragraphs:1, tables:0, lists:0
mn 12.3.4. start:1643 paragraphs:4, tables:0, lists:1
mn 12.3.5. start:1656 paragraphs:1, tables:0, lists:0
mn 12.3.6. start:1661 paragraphs:1, tables:0, lists:0
mn 12.4. start:1666 paragraphs:3, tables:0, lists:0
en 12.4. start:1806 paragraphs:1, tables:0, lists:0
en 12.5. start:1810 paragraphs:1, tables:0, lists:0
mn 13. start:1677 paragraphs:0, tables:0, lists:0
en 13. start:1813 paragraphs:1, tables:0, lists:0
mn 13.1. start:1679 paragraphs:2, tables:0, lists:0
en 13.1. start:1817 paragraphs:3, tables:0, lists:0
mn 13.2. start:1685 paragraphs:5, tables:0, lists:0
en 13.2. start:1827 paragraphs:2, tables:0, lists:0
mn 13.3. start:1699 paragraphs:9, tables:0, lists:0
en 13.3. start:1834 paragraphs:1, tables:0, lists:0
mn 13.4. start:1733 paragraphs:1, tables:0, lists:0
en 13.4. start:1839 paragraphs:2, tables:0, lists:1
