# Structural comparison of es_CO/userGuide.t2t against es_CO/userGuide-newRevisions/14512/userGuide.t2t
en 14.17. start:2538 paragraphs:3, tables:1, lists:0
es_CO 14.17. start:2751 paragraphs:3, tables:1, lists:0
es_CO 14.18. start:2835 paragraphs:4, tables:1, lists:0
en 15. start:2558 paragraphs:0, tables:0, lists:0
es_CO 15. start:2857 paragraphs:0, tables:0, lists:0
en 15.1. start:2560 paragraphs:6, tables:3, lists:0
es_CO 15.1. start:2859 paragraphs:6, tables:3, lists:0
en 15.2. start:2604 paragraphs:2, tables:1, lists:1
es_CO 15.2. start:2905 paragraphs:2, tables:1, lists:1
en 16. start:2616 paragraphs:1, tables:0, lists:0
es_CO 16. start:2917 paragraphs:1, tables:0, lists:0
# end of comparison
